Gene stable ID,Gene stable ID version,Gene name
ENSMUSG00000001403,ENSMUSG00000001403.14,Ube2c
ENSMUSG00000004880,ENSMUSG00000004880.12,Lbr
ENSMUSG00000005698,ENSMUSG00000005698.16,Ctcf
ENSMUSG00000006398,ENSMUSG00000006398.16,Cdc20
ENSMUSG00000009575,ENSMUSG00000009575.15,Cbx5
ENSMUSG00000012443,ENSMUSG00000012443.5,Kif11
ENSMUSG00000015749,ENSMUSG00000015749.13,Anp32e
ENSMUSG00000017716,ENSMUSG00000017716.16,Birc5
ENSMUSG00000019942,ENSMUSG00000019942.14,Cdk1
ENSMUSG00000019961,ENSMUSG00000019961.18,Tmpo
ENSMUSG00000020330,ENSMUSG00000020330.17,Hmmr
ENSMUSG00000020737,ENSMUSG00000020737.13,Jpt1
ENSMUSG00000020808,ENSMUSG00000020808.4,Pimreg
ENSMUSG00000020897,ENSMUSG00000020897.13,Aurkb
ENSMUSG00000020914,ENSMUSG00000020914.18,Top2a
ENSMUSG00000022385,ENSMUSG00000022385.12,Gtse1
ENSMUSG00000022391,ENSMUSG00000022391.17,Rangap1
ENSMUSG00000023505,ENSMUSG00000023505.14,Cdca3
ENSMUSG00000024056,ENSMUSG00000024056.11,Ndc80
ENSMUSG00000024795,ENSMUSG00000024795.12,Kif20b
ENSMUSG00000026605,ENSMUSG00000026605.15,Cenpf
ENSMUSG00000026622,ENSMUSG00000026622.16,Nek2
ENSMUSG00000026683,ENSMUSG00000026683.15,Nuf2
ENSMUSG00000027306,ENSMUSG00000027306.16,Nusap1
ENSMUSG00000027379,ENSMUSG00000027379.15,Bub1
ENSMUSG00000027469,ENSMUSG00000027469.17,Tpx2
ENSMUSG00000027496,ENSMUSG00000027496.16,Aurka
ENSMUSG00000027699,ENSMUSG00000027699.20,Ect2
ENSMUSG00000028044,ENSMUSG00000028044.7,Cks1b
ENSMUSG00000028678,ENSMUSG00000028678.14,Kif2c
ENSMUSG00000028873,ENSMUSG00000028873.17,Cdca8
ENSMUSG00000029177,ENSMUSG00000029177.10,Cenpa
ENSMUSG00000031004,ENSMUSG00000031004.9,Mki67
ENSMUSG00000032218,ENSMUSG00000032218.8,Ccnb2
ENSMUSG00000032254,ENSMUSG00000032254.11,Kif23
ENSMUSG00000034349,ENSMUSG00000034349.15,Smc4
ENSMUSG00000035293,ENSMUSG00000035293.14,G2e3
ENSMUSG00000036752,ENSMUSG00000036752.5,Tubb4b
ENSMUSG00000036777,ENSMUSG00000036777.9,Anln
ENSMUSG00000037313,ENSMUSG00000037313.17,Tacc3
ENSMUSG00000037544,ENSMUSG00000037544.15,Dlgap5
ENSMUSG00000037725,ENSMUSG00000037725.9,Ckap2
ENSMUSG00000038252,ENSMUSG00000038252.14,Ncapd2
ENSMUSG00000038379,ENSMUSG00000038379.16,Ttk
ENSMUSG00000040549,ENSMUSG00000040549.17,Ckap5
ENSMUSG00000044201,ENSMUSG00000044201.11,Cdc25c
ENSMUSG00000044783,ENSMUSG00000044783.17,Hjurp
ENSMUSG00000045328,ENSMUSG00000045328.12,Cenpe
ENSMUSG00000048327,ENSMUSG00000048327.7,Ckap2l
ENSMUSG00000048922,ENSMUSG00000048922.19,Cdca2
ENSMUSG00000054717,ENSMUSG00000054717.8,Hmgb2
ENSMUSG00000062248,ENSMUSG00000062248.6,Cks2
ENSMUSG00000068744,ENSMUSG00000068744.13,Psrc1
ENSMUSG00000074802,ENSMUSG00000074802.12,Gas2l3
