Gene stable ID,Gene stable ID version,Gene name
ENSMUSG00000000028,ENSMUSG00000000028.16,Cdc45
ENSMUSG00000001228,ENSMUSG00000001228.15,Uhrf1
ENSMUSG00000002870,ENSMUSG00000002870.9,Mcm2
ENSMUSG00000004642,ENSMUSG00000004642.14,Slbp
ENSMUSG00000005410,ENSMUSG00000005410.7,Mcm5
ENSMUSG00000006678,ENSMUSG00000006678.7,Pola1
ENSMUSG00000006715,ENSMUSG00000006715.12,Gmnn
ENSMUSG00000017499,ENSMUSG00000017499.16,Cdc6
ENSMUSG00000020649,ENSMUSG00000020649.12,Rrm2
ENSMUSG00000022360,ENSMUSG00000022360.9,Atad2
ENSMUSG00000022422,ENSMUSG00000022422.14,Dscc1
ENSMUSG00000022673,ENSMUSG00000022673.6,Mcm4
ENSMUSG00000022945,ENSMUSG00000022945.13,Chaf1b
ENSMUSG00000023104,ENSMUSG00000023104.10,Rfc2
ENSMUSG00000024151,ENSMUSG00000024151.14,Msh2
ENSMUSG00000024742,ENSMUSG00000024742.16,Fen1
ENSMUSG00000025001,ENSMUSG00000025001.12,Hells
ENSMUSG00000025395,ENSMUSG00000025395.16,Prim1
ENSMUSG00000025747,ENSMUSG00000025747.13,Tyms
ENSMUSG00000026355,ENSMUSG00000026355.12,Mcm6
ENSMUSG00000027242,ENSMUSG00000027242.15,Wdr76
ENSMUSG00000027323,ENSMUSG00000027323.11,Rad51
ENSMUSG00000027342,ENSMUSG00000027342.15,Pcna
ENSMUSG00000028212,ENSMUSG00000028212.17,Ccne2
ENSMUSG00000028282,ENSMUSG00000028282.13,Casp8ap2
ENSMUSG00000028560,ENSMUSG00000028560.12,Usp1
ENSMUSG00000028693,ENSMUSG00000028693.16,Nasp
ENSMUSG00000028884,ENSMUSG00000028884.15,Rpa2
ENSMUSG00000029591,ENSMUSG00000029591.15,Ung
ENSMUSG00000030346,ENSMUSG00000030346.17,Rad51ap1
ENSMUSG00000030528,ENSMUSG00000030528.13,Blm
ENSMUSG00000030726,ENSMUSG00000030726.17,Pold3
ENSMUSG00000030978,ENSMUSG00000030978.11,Rrm1
ENSMUSG00000031629,ENSMUSG00000031629.15,Cenpu
ENSMUSG00000031821,ENSMUSG00000031821.12,Gins2
ENSMUSG00000032397,ENSMUSG00000032397.8,Tipin
ENSMUSG00000034329,ENSMUSG00000034329.17,Brip1
ENSMUSG00000037474,ENSMUSG00000037474.14,Dtl
ENSMUSG00000039748,ENSMUSG00000039748.12,Exo1
ENSMUSG00000041712,ENSMUSG00000041712.8,Ubr7
ENSMUSG00000042489,ENSMUSG00000042489.16,Clspn
ENSMUSG00000046179,ENSMUSG00000046179.18,E2f8
ENSMUSG00000055612,ENSMUSG00000055612.16,Cdca7
